"","ric","date","time","midquote","datetime_GMT","datetime_CET","time_CET"
"166","EUREON2Y=",2013-07-04,"10:45:00",0.266,2013-07-04 10:45:00,2013-07-04 12:45:00,"12:45:00"
"167","EUREON2Y=",2013-07-04,"10:46:00",0.271,2013-07-04 10:46:00,2013-07-04 12:46:00,"12:46:00"
"168","EUREON2Y=",2013-07-04,"10:47:00",0.2735,2013-07-04 10:47:00,2013-07-04 12:47:00,"12:47:00"
"169","EUREON2Y=",2013-07-04,"10:48:00",0.2715,2013-07-04 10:48:00,2013-07-04 12:48:00,"12:48:00"
"170","EUREON2Y=",2013-07-04,"10:49:00",0.269,2013-07-04 10:49:00,2013-07-04 12:49:00,"12:49:00"
"171","EUREON2Y=",2013-07-04,"10:50:00",0.268,2013-07-04 10:50:00,2013-07-04 12:50:00,"12:50:00"
"172","EUREON2Y=",2013-07-04,"10:51:00",0.27,2013-07-04 10:51:00,2013-07-04 12:51:00,"12:51:00"
"173","EUREON2Y=",2013-07-04,"10:52:00",0.27,2013-07-04 10:52:00,2013-07-04 12:52:00,"12:52:00"
"174","EUREON2Y=",2013-07-04,"10:53:00",0.272,2013-07-04 10:53:00,2013-07-04 12:53:00,"12:53:00"
"175","EUREON2Y=",2013-07-04,"10:54:00",0.271,2013-07-04 10:54:00,2013-07-04 12:54:00,"12:54:00"
"176","EUREON2Y=",2013-07-04,"10:55:00",0.275,2013-07-04 10:55:00,2013-07-04 12:55:00,"12:55:00"
"177","EUREON2Y=",2013-07-04,"10:56:00",0.2735,2013-07-04 10:56:00,2013-07-04 12:56:00,"12:56:00"
"178","EUREON2Y=",2013-07-04,"10:57:00",0.271,2013-07-04 10:57:00,2013-07-04 12:57:00,"12:57:00"
"179","EUREON2Y=",2013-07-04,"10:58:00",0.272,2013-07-04 10:58:00,2013-07-04 12:58:00,"12:58:00"
"180","EUREON2Y=",2013-07-04,"10:59:00",0.274,2013-07-04 10:59:00,2013-07-04 12:59:00,"12:59:00"
"181","EUREON2Y=",2013-07-04,"11:00:00",0.2645,2013-07-04 11:00:00,2013-07-04 13:00:00,"13:00:00"
"182","EUREON2Y=",2013-07-04,"11:01:00",0.264,2013-07-04 11:01:00,2013-07-04 13:01:00,"13:01:00"
"183","EUREON2Y=",2013-07-04,"11:02:00",0.261,2013-07-04 11:02:00,2013-07-04 13:02:00,"13:02:00"
